ID,FARE
1.0,34.4
2.0,47.41
3.0,110.07
4.0,50.82
5.0,33.71
6.0,206.04
7.0,404.62
8.0,41.38
9.0,182.64
10.0,64.81
11.0,104.97
12.0,285.62
13.0,91.36
14.0,109.43
15.0,44.91
16.0,61.47
17.0,397.59
18.0,100.95
19.0,405.21
20.0,65.05
21.0,83.31
22.0,95.67
23.0,76.31
24.0,263.08
25.0,461.27
26.0,88.47
27.0,76.2
28.0,1067.66
29.0,180.21
30.0,37.4
31.0,543.35
32.0,575.13
33.0,98.64
34.0,410.21
35.0,142.92
36.0,106.42
37.0,55.34
38.0,87.98
39.0,47.04
40.0,34.75
41.0,445.96
42.0,655.91
43.0,117.39
44.0,65.78
45.0,38.29
46.0,55.56
47.0,34.64
48.0,469.72
49.0,107.87
50.0,66.39
51.0,601.05
52.0,163.78
53.0,78.58
54.0,904.26
55.0,133.19
56.0,143.65
57.0,37.41
58.0,1290.19
59.0,307.69
60.0,642.09
61.0,40.31
62.0,52.07
63.0,58.92
64.0,46.78
65.0,247.98
66.0,38.56
67.0,65.73
68.0,60.92
69.0,371.49
70.0,94.31
71.0,796.51
72.0,85.11
73.0,1218.98
74.0,307.95
75.0,84.44
76.0,46.31
77.0,76.12
78.0,108.09
79.0,60.59
80.0,504.8
81.0,587.04
82.0,101.88
83.0,438.98
84.0,32.69
85.0,600.04
86.0,44.96
87.0,93.9
88.0,1217.14
89.0,98.12
90.0,269.35
91.0,108.61
92.0,940.02
93.0,825.44
94.0,71.88
95.0,84.98
96.0,50.61
97.0,504.95
98.0,37.56
99.0,1088.01
100.0,756.01
101.0,456.23
102.0,1001.19
103.0,948.67
104.0,55.85
105.0,109.17
106.0,469.41
107.0,45.57
108.0,639.61
109.0,469.68
110.0,48.2
111.0,54.23
112.0,161.64
113.0,35.58
114.0,162.99
115.0,51.9
116.0,55.92
117.0,47.62
118.0,63.69
119.0,337.51
120.0,384.83
121.0,124.81
122.0,59.81
123.0,528.42
124.0,92.95
125.0,737.41
126.0,51.68
127.0,43.48
128.0,51.4
129.0,498.84
130.0,114.3
131.0,398.64
132.0,161.11
133.0,936.03
134.0,214.68
135.0,49.63
136.0,527.44
137.0,73.45
138.0,98.36
139.0,637.13
140.0,68.12
141.0,465.58
142.0,40.27
143.0,77.55
144.0,96.99
145.0,31.99
146.0,43.84
147.0,435.77
148.0,714.17
149.0,73.46
150.0,405.96
151.0,55.97
152.0,70.06
153.0,677.2
154.0,237.78
155.0,53.42
156.0,440.73
157.0,787.69
158.0,101.02
159.0,311.61
160.0,1058.9
161.0,103.21
162.0,47.99
163.0,35.0
164.0,46.93
165.0,795.14
166.0,215.49
167.0,786.51
168.0,57.47
169.0,965.42
170.0,442.34
171.0,517.48
172.0,440.45
173.0,69.69
174.0,33.02
175.0,74.7
176.0,57.17
177.0,383.4
178.0,956.99
179.0,70.36
180.0,19.18
181.0,713.72
182.0,19.43
183.0,96.61
184.0,103.44
185.0,80.59
186.0,498.77
187.0,476.43
188.0,531.65
189.0,344.12
190.0,363.11
191.0,53.65
192.0,538.8
193.0,93.75
194.0,90.15
195.0,882.0
196.0,41.15
197.0,28.85
198.0,375.38
199.0,46.4
200.0,128.59
201.0,62.52
202.0,112.7
203.0,174.66
204.0,45.69
205.0,44.71
206.0,45.01
207.0,74.35
208.0,652.83
209.0,78.27
210.0,52.27
211.0,1136.01
212.0,21.79
213.0,50.51
214.0,708.54
215.0,498.43
216.0,105.42
217.0,282.32
218.0,944.53
219.0,56.73
220.0,542.2
221.0,52.49
222.0,62.62
223.0,606.91
224.0,34.32
225.0,686.71
226.0,70.67
227.0,77.54
228.0,829.25
229.0,53.91
230.0,115.26
231.0,409.82
232.0,462.44
233.0,225.63
234.0,1058.2
235.0,301.71
236.0,43.04
237.0,70.74
238.0,48.15
239.0,33.66
240.0,268.21
241.0,92.59
242.0,469.02
243.0,60.45
244.0,53.72
245.0,93.7
246.0,607.91
247.0,187.94
248.0,42.32
249.0,61.07
250.0,328.78
251.0,40.54
252.0,900.77
253.0,429.23
254.0,34.93
255.0,407.52
256.0,23.0
257.0,799.29
258.0,546.15
259.0,63.93
260.0,35.95
261.0,293.61
262.0,90.91
263.0,95.27
264.0,42.98
265.0,463.24
