House ID,Golden Grains
6e33d031,1123888.01
6e33d037,1436745.06
6e33d03d,1579129.44
6e33d043,1353240.26
6e33d045,1350503.39
6e33d049,1318875.33
6e33d04d,1347024.21
6e33d051,1152796.8
6e33d053,1133357.13
6e33d055,1125056.82
6e33d05b,1166974.83
6e33d05f,1179273.48
6e33d062,1490314.09
6e33d065,1664417.58
6e33d067,1387291.79
6e33d06b,1232185.46
6e33d071,1482971.1
6e33d075,1220989.14
6e33d07a,1343687.28
6e33d080,1177338.56
6e33d083,1269420.51
6e33d089,1296675.24
6e33d08b,1494592.66
6e33d08e,1152623.56
6e33d090,1342609.53
6e33d095,1447225.19
6e33d098,1280133.86
6e33d09a,1155008.05
6e33d09d,1412288.7
6e33d0a0,1283888.83
6e33d0a5,1137111.41
6e33d0a8,1386399.54
6e33d0ac,1441771.55
6e33d0b1,1413427.05
6e33d0b5,1126441.19
6e33d0ba,1452406.75
6e33d0bc,1289903.75
6e33d0c2,1413776.4
6e33d0c6,1232957.05
6e33d0cc,1514621.67
6e33d0d1,1329638.49
6e33d0d3,1520825.75
6e33d0d5,1489176.56
6e33d0d7,861041.52
6e33d0dc,1504948.13
6e33d0e0,1163691.62
6e33d0e2,1370917.82
6e33d0e4,1383973.9
6e33d0e6,1289495.16
6e33d0ea,1198358.89
6e33d0ee,1410262.22
6e33d0f4,1290360.69
6e33d0f8,1362437.29
6e33d0fd,1488856.62
6e33d100,1283808.96
6e33d103,1194660.53
6e33d108,1163361.69
6e33d10b,1500195.01
6e33d110,1104431.4
6e33d112,1053992.64
6e33d117,1570792.71
6e33d11c,1502219.52
6e33d122,1214286.29
6e33d127,1104492.21
6e33d12c,1329989.61
6e33d130,1330787.83
6e33d136,1470719.22
6e33d13a,1541795.03
6e33d13e,1364615.91
6e33d141,1290204.57
6e33d147,1356592.52
6e33d14b,1454829.42
6e33d14e,1078191.65
6e33d151,986436.86
6e33d154,1224993.95
6e33d159,1351386.77
6e33d15f,1403192.0
6e33d162,1286497.6
6e33d168,1326404.83
6e33d16d,1209880.0
6e33d16f,1408029.41
6e33d172,1501559.57
6e33d175,1282771.25
6e33d17b,836849.94
6e33d181,1354382.34
6e33d184,1378526.73
6e33d186,1279547.34
6e33d18b,1456002.78
6e33d191,1191811.23
6e33d193,1375682.1
6e33d197,1469290.68
6e33d19b,1483181.65
6e33d19f,1300866.37
6e33d1a3,1283282.64
6e33d1a7,1144556.11
6e33d1ad,1346618.25
6e33d1b1,1381151.18
6e33d1b5,1480398.35
6e33d1b9,1363806.66
6e33d1bb,1344272.16
6e33d1bf,1184368.26
6e33d1c4,1408327.15
6e33d1c7,1508389.76
6e33d1cb,1560358.94
6e33d1cd,1331490.96
6e33d1d3,1281195.34
6e33d1d9,1409067.42
6e33d1dd,1218007.54
6e33d1e1,1471390.45
