9.4739,9.2383,9.9812
7.3777,7.3319,8.6359
14.666,14.478,14.606
11.725,12.244,12.423
11.766,11.895,11.612
6.2592,6.4553,7.1703
8.4301,8.1486,9.5318
12.753,12.309,11.899
7.6155,6.9048,6.875
11.363,11.427,11.246
12.437,12.625,12.06
8.1878,8.3955,8.9431
11.825,12.752,13.303
9.3485,10.436,12.129
13.206,13.863,14.547
12.885,13.438,13.7
12.909,13.091,13.269
9.8991,9.7942,10.552
12.173,12.373,12.728
12.732,12.274,11.802
11.888,12.154,13.069
12.405,12.045,11.838
12.642,13.091,13.344
9.0471,8.9655,9.1222
14.109,14.012,14.636
6.12,6.4923,6.5314
7.7732,8.0755,9.4217
6.1816,6.5048,8.0293
10.666,10.495,10.445
9.6696,9.9544,10.544
9.4093,10.105,10.918
10.906,10.509,10.5
13.587,13.069,13.247
13.012,13.431,13.505
12.357,12.741,13.083
12.036,12.356,12.728
13.029,12.96,12.882
9.8412,10.106,10.595
10.865,11.782,12.686
10.43,10.036,9.9107
10.128,10.298,11.028
12.29,12.524,13.215
13.42,12.823,12.581
11.695,11.993,12.057
12.257,12.028,11.935
11.5,11.945,12.319
8.935,9.2927,10.852
9.0061,9.9672,11.204
11.718,12.412,12.596
11.461,11.411,12.016
12.798,13.201,13.68
8.967,9.4855,11.377
12.167,12.637,12.895
12.014,11.995,11.834
13.138,13.629,13.953
13.552,13.506,13.66
13.064,12.794,12.784
12.254,11.918,10.855
12.225,12.055,12.733
12.07,12.289,12.486
13.018,12.881,12.437
12.456,11.685,10.624
12.126,12.502,12.84
11.017,11.709,12.069
12.287,12.375,12.121
12.676,12.609,12.297
12.153,12.227,13.231
13.067,13.389,13.644
11.332,11.574,11.592
12.753,12.481,11.605
6.6838,7.0026,8.07
13.8,13.869,13.991
13.565,13.727,14.365
13.523,13.552,13.869
11.974,11.861,11.512
11.193,10.955,10.979
11.59,11.868,11.604
14.824,15.012,15.773
9.5538,10.268,10.486
10.309,10.758,11.094
12.972,13.049,12.938
11.855,12.068,12.374
12.503,12.574,12.929
12.41,13.106,13.066
11.996,12.708,12.713
13.419,13.203,12.975
12.86,14.229,15.483
12.789,13.249,14.362
10.695,10.763,10.894
10.68,10.574,10.615
11.549,11.941,11.866
10.801,11.324,12.332
12.325,12.067,11.298
12.685,12.296,11.85
12.681,13.551,14.442
12.997,12.852,12.652
6.6189,6.3827,7.9291
10.515,11.01,11.007
5.3688,5.4861,6.4195
12.213,13.333,14.514
