ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE,MONTH,DAY,YEAR,TIME,TIME_AM,weekday,bus,taxi,cooling,public,city,mean_lat,mean_long
1,1453339789.0,13.044677,80.235723,13.178228,80.16327700000001,0,-1.0,-1.0,8,34,32.09,1,21,2016,0659,0,3,1,0,0,1,0,13.0,80.5
2,1466182410.0,28.63958,77.074113,28.587288,76.97130600000001,1,7.0,9.0,66,34,985.99,6,17,2016,2223,1,4,0,0,1,0,5,28.5,77.0
3,1458084318.0,25.373881,82.96956999999999,25.349656,82.992587,2,18.0,6.0,53,1,1085.33,3,16,2016,0455,0,2,0,0,1,0,3,25.5,83.0
4,1461674409.0,28.758384000000003,77.011422,28.758384000000003,77.011422,3,-1.0,-1.0,54,31,56.21,4,26,2016,1810,1,1,0,0,0,1,5,28.5,77.0
5,1466540495.0,22.543506,88.446273,22.706696,88.42952199999999,0,-1.0,-1.0,33,44,30.62,6,22,2016,0151,0,2,1,0,0,1,4,22.5,88.5
6,1458296841.0,19.206757,72.882636,19.230355,72.838503,4,-1.0,-1.0,23,43,59.82,3,18,2016,1557,1,4,1,0,1,0,2,19.5,72.5
7,1446634613.0,19.012726999999998,72.872332,19.147118,72.841727,2,22.0,0.0,61,34,586.36,11,4,2015,1626,1,2,0,0,1,0,2,19.5,72.5
8,1446693673.0,12.944421,77.645893,12.877228,77.69488199999999,0,-1.0,-1.0,28,18,32.27,11,5,2015,0851,0,3,1,0,0,1,1,13.0,77.5
9,1471252260.0,25.304676999999998,82.98701,25.387941,82.99002,1,12.0,18.0,69,43,1122.08,8,15,2016,1441,1,0,0,0,1,0,3,25.5,83.0
10,1421985962.0,22.537007,88.44726899999999,22.578402,88.404477,3,-1.0,-1.0,17,19,23.54,1,23,2015,0936,0,4,0,0,0,1,4,22.5,88.5
11,1420760931.0,19.016835,72.84941500000001,19.234467000000002,72.841091,1,17.0,19.0,39,41,901.34,1,9,2015,0518,0,4,0,0,1,0,2,19.5,72.5
